[04/Jun/2020 00:51:25] INFO [django.utils.autoreload:598] Watching for file changes with StatReloader
[04/Jun/2020 00:51:25] DEBUG [django.utils.autoreload:286] Waiting for apps ready_event.
[04/Jun/2020 00:51:25] DEBUG [django.utils.autoreload:297] Apps ready_event triggered. Sending autoreload_started signal.
[04/Jun/2020 00:51:25] DEBUG [django.utils.autoreload:252] Watching dir E:\webdev\RuTAG_2.0\RuTAG\locale with glob **/*.mo.
[04/Jun/2020 00:51:25] DEBUG [django.utils.autoreload:252] Watching dir E:\webdev\RuTAG_2.0\RuTAG\projects\locale with glob **/*.mo.
[04/Jun/2020 00:51:25] DEBUG [django.utils.autoreload:252] Watching dir E:\webdev\RuTAG_2.0\RuTAG\members\locale with glob **/*.mo.
[04/Jun/2020 00:51:25] DEBUG [django.utils.autoreload:252] Watching dir E:\webdev\RuTAG_2.0\RuTAG\products\locale with glob **/*.mo.
[04/Jun/2020 00:51:26] DEBUG [django.utils.autoreload:252] Watching dir E:\webdev\RuTAG_2.0\RuTAG\events\locale with glob **/*.mo.
[04/Jun/2020 00:51:26] DEBUG [django.utils.autoreload:252] Watching dir E:\webdev\RuTAG_2.0\RuTAG\article\locale with glob **/*.mo.
[04/Jun/2020 00:51:26] DEBUG [django.utils.autoreload:252] Watching dir E:\webdev\RuTAG_2.0\RuTAG\user\locale with glob **/*.mo.
[04/Jun/2020 00:51:26] DEBUG [django.utils.autoreload:252] Watching dir C:\Python38\lib\site-packages\crispy_forms\locale with glob **/*.mo.
[04/Jun/2020 00:51:26] DEBUG [django.utils.autoreload:252] Watching dir C:\Python38\lib\site-packages\ckeditor\locale with glob **/*.mo.
[04/Jun/2020 00:51:26] DEBUG [django.utils.autoreload:252] Watching dir C:\Python38\lib\site-packages\django_cleanup\locale with glob **/*.mo.
[04/Jun/2020 00:51:26] DEBUG [django.utils.autoreload:349] File C:\Python38\Lib\site-packages\django\contrib\admin\widgets.py first seen with mtime 1590492751.0511262
[04/Jun/2020 00:51:26] DEBUG [django.utils.autoreload:349] File C:\Python38\Lib\pathlib.py first seen with mtime 1589389960.0
[04/Jun/2020 00:51:26] DEBUG [django.utils.autoreload:349] File E:\webdev\RuTAG_2.0\RuTAG\events\admin.py first seen with mtime 1591124677.173077
[04/Jun/2020 00:51:26] DEBUG [django.utils.autoreload:349] File E:\webdev\RuTAG_2.0\RuTAG\article\forms.py first seen with mtime 1591126354.5851707
[04/Jun/2020 00:51:26] DEBUG [django.utils.autoreload:349] File C:\Python38\Lib\wsgiref\headers.py first seen with mtime 1589389960.0
[04/Jun/2020 00:51:26] DEBUG [django.utils.autoreload:349] File C:\Python38\Lib\nturl2path.py first seen with mtime 1589389960.0
[04/Jun/2020 00:51:26] DEBUG [django.utils.autoreload:349] File C:\Python38\Lib\site-packages\django\db\backends\base\schema.py first seen with mtime 1590492763.4319105
[04/Jun/2020 00:51:26] DEBUG [django.utils.autoreload:349] File C:\Python38\Lib\site-packages\sqlparse\sql.py first seen with mtime 1589695185.9419358
[04/Jun/2020 00:51:26] DEBUG [django.utils.autoreload:349] File C:\Python38\DLLs\_lzma.pyd first seen with mtime 1589389976.0
[04/Jun/2020 00:51:26] DEBUG [django.utils.autoreload:349] File C:\Python38\Lib\site-packages\django\views\generic\dates.py first seen with mtime 1590492763.9010258
[04/Jun/2020 00:51:26] DEBUG [django.utils.autoreload:349] File C:\Python38\Lib\site-packages\django\template\context.py first seen with mtime 1590492763.7571
[04/Jun/2020 00:51:26] DEBUG [django.utils.autoreload:349] File C:\Python38\Lib\site-packages\django\db\backends\utils.py first seen with mtime 1590492763.4009693
[04/Jun/2020 00:51:26] DEBUG [django.utils.autoreload:349] File C:\Python38\Lib\site-packages\django\db\backends\sqlite3\features.py first seen with mtime 1590492763.4870803
[04/Jun/2020 00:51:26] DEBUG [django.utils.autoreload:349] File C:\Python38\Lib\site-packages\django\db\models\lookups.py first seen with mtime 1590492763.546664
